DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024
SPNF,97.99220152,98.49794036,98.98519683,98.95220112,99.60812514,100.0503385,100.1590752,100.245936,100.6197263,100.9996416,101.489195,102.4004225,102.0534665,102.2786875,102.5591734,103.1504488,103.0989027,103.5926793,103.9962555,103.8283026,104.1425766,104.2186039,104.6698599,105.5550738,101.8825017,102.2919902,102.8793819,103.1152242,103.3090836,103.1436618,103.1736725,103.1624526,103.3187931,103.4933557,103.3117036,103.4725618,100.3989797,100.5997645,101.4482074,101.6022835,102.1203277,102.6931786,102.925313,102.6991706,102.8235299,103.3208324,103.8468866,104.8883557,101.87187,102.5757559,103.8098729,104.3848649,104.6081589,105.2008244,105.8348969,105.7468421,106.3036533,106.5112214,106.9904051,107.6012308,102.6332976,103.339395,104.2771649,104.0607202,104.3727671,104.7574675,105.323337,105.4486923,106.0414565,106.7350547,106.9265354,107.7108584,102.5120816,103.3455121,104.3984613,103.9024929
48-49,96.94677473,97.59117866,98.37422005,97.98103226,99.73598972,100.5962453,100.6828679,100.2015996,100.3082165,101.1291363,102.0516292,104.4011099,102.4906995,102.3068306,102.7575171,103.6883616,103.4705007,104.8428163,105.5181272,104.0790238,103.949983,103.8602027,105.0688598,107.7785221,101.4064764,101.5755979,102.2870415,102.1644638,102.8611333,102.4928611,102.5337793,102.6090504,102.5133382,103.3003366,102.6194286,102.981236,99.92255547,100.397488,102.2835328,102.4700641,103.86097,105.573001,105.7693826,104.0897696,103.7525074,104.9075274,106.1144947,109.1207861,100.9745212,101.8934359,105.4015801,106.5830125,106.6823289,107.7523644,108.7890489,107.5652945,108.3175912,108.4750727,109.6879495,111.1799858,102.1975499,102.8494342,105.2328764,103.9744281,104.3894212,105.4482215,107.0661298,106.6331616,106.8159032,108.1451036,108.4910221,110.9465526,102.4215961,103.7983415,106.722544,104.4877997
4811,75.2021616,80.82371888,96.65211461,72.88336852,97.57008824,102.2897264,109.0354411,95.62660585,91.77770936,106.1460097,112.9787831,159.0142727,99.41728202,94.54540361,100.7737401,119.4256447,101.6398376,121.6069146,129.4110565,101.808358,96.17121657,94.91764743,113.0727,150.2700847,86.80625962,82.61562378,81.63079967,74.33054151,80.73622311,81.83472851,81.70386422,82.74211455,81.19455252,91.60131199,83.1844206,88.45624619,80.79593194,85.605647,115.2503883,116.9265926,138.4766884,167.9400425,164.3677225,129.1565612,119.9449605,135.9749704,147.428867,190.9779363,76.17427539,76.91903267,119.2996879,125.0261336,117.0692549,124.8592463,133.3944544,109.1392501,112.8872633,115.0390183,130.4039026,144.0278517,87.39680404,87.19309473,111.4005286,88.95612636,90.87857274,102.9893859,122.5461521,110.0378798,110.4937366,124.3878478,126.5640963,154.0326084,102.7038104,107.6450499,140.5642742,108.506379
4812,75.2021616,80.82371888,96.65211461,72.88336852,97.57008824,102.2897264,109.0354411,95.62660585,91.77770936,106.1460097,112.9787831,159.0142727,99.41728202,94.54540361,100.7737401,119.4256447,101.6398376,121.6069146,129.4110565,101.808358,96.17121657,94.91764743,113.0727,150.2700847,86.80625962,82.61562378,81.63079967,74.33054151,80.73622311,81.83472851,81.70386422,82.74211455,81.19455252,91.60131199,83.1844206,88.45624619,80.79593194,85.605647,115.2503883,116.9265926,138.4766884,167.9400425,164.3677225,129.1565612,119.9449605,135.9749704,147.428867,190.9779363,76.17427539,76.91903267,119.2996879,125.0261336,117.0692549,124.8592463,133.3944544,109.1392501,112.8872633,115.0390183,130.4039026,144.0278517,87.39680404,87.19309473,111.4005286,88.95612636,90.87857274,102.9893859,122.5461521,110.0378798,110.4937366,124.3878478,126.5640963,154.0326084,102.7038104,107.6450499,140.5642742,108.506379
4821,96.02698931,98.66412811,98.66412811,98.66412811,98.66412811,98.66412811,101.775395,101.775395,101.775395,101.775395,101.775395,101.775395,101.775395,101.8873824,102.2609804,102.4632882,102.4632882,102.4632882,105.3161509,105.3161509,105.3134293,105.3134293,105.3134293,105.3134293,101.4906453,101.4906453,101.4906453,101.4906453,101.4906453,101.4906453,101.4906453,101.4906453,101.4906453,101.4906453,102.355734,102.355734,105.9867775,105.986775,105.986775,105.986775,105.986775,105.986775,105.986775,105.986775,105.986775,105.986775,105.986775,105.986775,99.9999998,99.9999998,100.2672444,100.2672444,104.0698687,105.2321742,105.2321742,105.2321742,105.2321742,105.2321742,105.2321742,105.2321742,101.7367065,101.7367065,104.2513685,104.2513685,104.2513685,104.2513685,108.4985488,108.4985488,108.9079472,108.9079472,108.9079472,108.9079472,102.8823412,102.8823412,102.8823412,102.8823412
4841,97.51491776,97.5070955,97.5403603,98.69927975,100.1268329,101.2224963,100.4236376,100.7184095,100.968695,101.1207882,102.0753128,102.0821744,102.0050554,101.8974868,102.0164774,101.882737,102.7974071,103.937922,103.7831095,104.035805,104.3426061,104.3860642,104.4066135,104.5093715,102.9918056,103.7116771,104.6983546,105.0441357,105.1358563,104.6280206,104.7137231,104.8253378,104.8471032,104.9676259,104.9150497,104.8250046,101.0859147,101.3461238,101.5488079,101.6791105,102.1470749,102.1803818,102.8294129,103.0587619,103.5027029,103.9183956,104.4616171,104.9443907,102.9853629,104.1340006,104.98841,105.9728669,106.6754729,107.203763,107.6806007,108.2397232,109.1089202,108.9896148,109.2168785,109.5215364,103.5888834,104.3513521,104.9326614,105.3585431,105.9142159,106.2860739,106.2859426,106.9388997,107.2435755,107.7423593,107.8211589,107.7902101,102.0134296,103.6543174,103.9780722,104.2374084
4842,97.51491776,97.5070955,97.5403603,98.69927975,100.1268329,101.2224963,100.4236376,100.7184095,100.968695,101.1207882,102.0753128,102.0821744,102.0050554,101.8974868,102.0164774,101.882737,102.7974071,103.937922,103.7831095,104.035805,104.3426061,104.3860642,104.4066135,104.5093715,102.9918056,103.7116771,104.6983546,105.0441357,105.1358563,104.6280206,104.7137231,104.8253378,104.8471032,104.9676259,104.9150497,104.8250046,101.0859147,101.3461238,101.5488079,101.6791105,102.1470749,102.1803818,102.8294129,103.0587619,103.5027029,103.9183956,104.4616171,104.9443907,102.9853629,104.1340006,104.98841,105.9728669,106.6754729,107.203763,107.6806007,108.2397232,109.1089202,108.9896148,109.2168785,109.5215364,103.5888834,104.3513521,104.9326614,105.3585431,105.9142159,106.2860739,106.2859426,106.9388997,107.2435755,107.7423593,107.8211589,107.7902101,102.0134296,103.6543174,103.9780722,104.2374084
4851,99.1017325,99.31399259,99.36254406,99.83639002,99.98784695,99.99170177,100.0002953,100.2979941,100.4080938,100.4543458,100.5105318,100.7345314,101.5553005,101.6602236,101.7692598,102.0904258,102.2491418,102.3850206,102.8599033,103.451155,103.4904628,104.4779274,105.2173125,105.3073281,103.230242,103.3439508,103.7520121,103.9306014,104.653569,104.6824592,104.7730405,104.9560932,105.3300685,105.3910767,105.4026215,105.4026215,100.8706389,100.9457154,100.9457154,101.1545383,101.2056544,101.2652763,101.3853643,101.4539621,101.839472,101.7998805,101.8993092,102.3161179,101.3400602,101.7394865,101.776935,101.776935,101.7643678,103.0294819,104.3219504,104.6228299,104.8191984,104.9499959,105.0520538,105.175184,102.2524516,102.7873978,103.5330587,104.0318377,104.2666858,104.2830495,104.4146912,104.4447173,104.5716111,104.6605039,104.6757945,104.6859316,100.6795405,100.7489137,100.7815649,100.7079833
4852,98.89775419,98.66196464,99.29767072,99.29217991,99.38493632,99.23363576,99.38692359,99.43388343,100.1129628,101.2702829,101.4807847,103.5470211,105.3252624,105.0850331,105.2638581,106.0432096,106.1970036,106.2511329,106.9464447,107.1830175,106.7999425,106.1333211,106.6501566,108.0329484,102.1541067,102.1721368,102.1606042,101.5197373,101.8412029,101.5729831,101.5930146,101.0467847,100.9692505,101.1266409,100.7553409,101.7210981,100.7274479,100.2920902,100.8198541,101.0332501,100.910583,101.3651042,101.6836367,102.1175123,101.1961663,101.4475398,102.342942,104.0421944,103.2147248,103.5917679,103.5231694,105.3517273,106.2808977,106.7437313,107.2426959,108.100229,108.152737,108.3155528,108.2655104,110.9355703,104.9644896,105.2779847,105.6229185,106.6904958,106.6357457,106.3094436,106.9352757,107.7655932,107.2473027,107.0041029,107.9652167,110.899982,104.5888725,105.1261664,106.3413303,106.6858302
4854,99.1017325,99.31399259,99.36254406,99.83639002,99.98784695,99.99170177,100.0002953,100.2979941,100.4080938,100.4543458,100.5105318,100.7345314,101.5553005,101.6602236,101.7692598,102.0904258,102.2491418,102.3850206,102.8599033,103.451155,103.4904628,104.4779274,105.2173125,105.3073281,103.230242,103.3439508,103.7520121,103.9306014,104.653569,104.6824592,104.7730405,104.9560932,105.3300685,105.3910767,105.4026215,105.4026215,100.8706389,100.9457154,100.9457154,101.1545383,101.2056544,101.2652763,101.3853643,101.4539621,101.839472,101.7998805,101.8993092,102.3161179,101.3400602,101.7394865,101.776935,101.776935,101.7643678,103.0294819,104.3219504,104.6228299,104.8191984,104.9499959,105.0520538,105.175184,102.2524516,102.7873978,103.5330587,104.0318377,104.2666858,104.2830495,104.4146912,104.4447173,104.5716111,104.6605039,104.6757945,104.6859316,100.6795405,100.7489137,100.7815649,100.7079833
