DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024
SPNF,199388834.5,197778820.1,203865861,206757915.7,219301265,217220514.1,219977945.2,213432079.8,211952318.3,220636721.5,228515119,258897172.9,202878744.1,206475385.3,208275901.8,213962745.4,216671386.7,216025499.8,230146142.5,222680490,217471864.7,229238850.1,234564440.3,266760495.3,207004058.9,191745307.6,196134555.7,158258087.2,158677374,170434677,180833991.4,186096816.6,191373837.7,194613329.2,199287662.1,231157865.2,175898517.6,171607693.8,192746364.3,190514568.1,195151457.1,204568812.7,204065860,200692097,195729371.6,205886533.8,206788081.5,231427101.3,188958771.1,195660721.1,220404657.8,214647025.9,226620160.1,230089981.4,229445377.8,230185622.3,227467206.1,233633937.3,239108685.5,273629402.3,218596220.5,217807660.1,235927237.6,227753899.8,237017511.4,236206591.9,235041151.8,240255463.1,237371108.9,239302703.6,245630413.4,275146283.9,230082414.1,234959353.2,243122119,250259226.7
48-49,44184088.38,44113168.81,46333386.05,47221666.49,48442390.92,49018719.07,50898725.09,50898398.73,48890008.45,52259744.06,51409701.21,54208310.28,47812206.24,47205980.57,49390402.29,49094445.68,50479470.94,48567701.35,51407486.39,50442996.26,48062695.67,50706904.69,49232964,50932310.29,47846191.43,45038308.53,43644833.47,35951879.3,34249602.1,37263707.29,41157720.18,39841706.29,44579750.36,44232106.68,42745453.29,48216168.41,43274628.55,41823645.69,46993376.27,46555807.69,49098441.47,51430236.19,53669946.11,50346123.94,49122945.05,55162938.5,55895507.81,58355477.6,53065753.52,54322703.56,62442730.38,61900030.39,63284946.42,66963485.36,66979864.1,65963198.73,64093906.39,65555639.29,64062868.33,69606024.88,60698100.66,58665545.09,63342043.23,59282836.02,62570508.62,61797458.79,62643472.11,63468239.01,64524600.56,63326432.34,62723573.79,64678441.84,62859285.81,62535495.64,65018437.12,70839495.82
4811,9392835,9621927,10205629,10292907,10477924,11059275,11805929,11520683,10531588,11313710,11695060,13022394,10626572,10100676,10638627,11281681,11527623,11313095,12099595,11763507,10273099,11259775,10757539,12343384,10906794,10035462,7593925,4650739,4596671,6361916,7505395,6864152,9800569,7389141,7427910,9179463,7336135,5825277,6774785,7533672,9196653,10146312,10439744,9524416,8421199,10927829,10906271,11136401,11139267,9548578,11312249,12742198.21,13367497.5,14248173.79,14098677.42,13853107.12,12332289.55,13232581.04,13820224.3,15351228.47,13431549.37,11355748.53,11703562.35,10934259.24,10473690.98,10627597,11850476,11948049,11065615,11889324,12180324,10540379,11619431,10743236,12255541,11689079
4812,427909,401885,422235,423383,413894,461512,479160,472537,440501,471400,481998,539598,423489,412640,441320,446677,453702,444292,481197,461199,424036,448625,437422,482349,445344,409085,339485,233479,242833,334296,324412,301080,379797,301570,282949,395337,298855,254116,290990,313896,404650,450748,394858,377342,312723,424508,398779,456380,436944,434496,482502,523297,448634,521629,570586,581314,554183,583991,532843,544659,570554,578499,527239,566900,505091,528788,483295,515267,535093,553322,541988,610062,585396,515834,543352,592097
4821,2136652,1972418,2213247,2214137,2399775,2432803,2445590,2390318,2316414,2457680,2330939,2779761,2017322,1914137,2151976,2194223,2319048,2278944,2341754,2388886,2344157,2316303,2284242,2195245,2076674,2058118,2350087,2020554,1942926,2078959,2086425,2224453,2041781,1983312,1953905,2015775,2043436,2005344,2249968,2128635,2291659,2504710,2515271,2729301,2649317,2722452,2869293,2776646,2564423,2563623,2727453,2616360,2602156,2805577,2847228,2778438,2697202,2680478,2635434,2710568,2667005,2584631,2873303,2682596,2829190,2703354,2807349,2863345,2935212,3081341,2873961,3005850,2949094,2819903,2875186,3056344
4841,7529809.714,7466142.301,7936514.453,8169903.213,8252909.811,8152338.498,8225847.547,8576361.753,8129422.674,8863646.246,8706879.643,8626651.482,8413795.731,8429928.502,8791487.18,8793703.27,8949977.679,8576660.73,8827981.422,8831680.588,8655683.35,8882694.486,8762388.593,8738588.912,8203239.576,8055091.466,8414423.309,7178380.876,6636531.439,7402481.292,7871868.554,7960537.466,7942485.527,8355952.256,8221859.481,8881857.504,7950056.515,8088549.869,9118803.035,8875028.313,8777815.443,8894899.886,9202988.613,9045200.75,8889720.358,9506939.202,9016928.685,9666764.382,8106298.205,8646294.864,9402448.896,10502954.44,9915871.869,11406813.79,11794405.99,11551864.34,11058685.62,11245993.28,10987433.49,11620358.5,9192465.137,8827527.168,10079350.04,9137757.325,9881042.402,9521044.339,10011253.5,9737834.099,10221241.41,9703463.986,9859312.925,10020859.71,9014505.85,10207291.52,10361311.52,11822676.18
4842,5533284.903,5793806.908,6201465.008,6460797.891,6419060.804,6292989.965,6420646.662,6367547.258,6410270.957,6831866.709,6468270.003,6903747.034,6239158.395,6453553.402,6637879.284,6563313.543,6812268.647,6417851.624,6877111.09,6749987.297,6567740.104,6731827.561,7106186.514,6974803.69,6463495.055,6213398.074,6399815.305,5343960.3,5177662.364,5428224.291,5932363.211,6164688.814,6537488.758,6805021.88,6460703.707,6944917.542,6116203.333,6317586.256,7202187.605,6894539.164,6525315.796,6924089.744,7289980.84,7136949.271,7103844.782,7399503.178,6724828.751,6985595.847,6463196.79,7458686.284,8349463.577,8299911.051,8588060.878,8634229.96,8593181.122,9012712.429,8965505.651,9185362.867,8923246.895,9466494.806,8382486.102,8788296.637,9764282.799,9589242.391,9984590.736,9017410.525,9473116.704,9248516.072,9409438.575,9499270.881,9247217.837,9765984.984,8464741.284,9729244.329,9992475.812,10217485.95
4851,2468468.532,2458535.983,2572418.526,2606270.033,2654836.255,2630341.987,2673518.833,2690156.19,2719019.251,2879047.112,2725858.906,2726955.618,2632500.109,2538972.508,2709552.165,2685983.343,2778728.309,2756054.018,2727360.703,2796155.742,2757511.282,2904442.862,2844193.419,2800952.813,2694834.463,2834717.641,2566837.15,1696905.178,1628873.536,1815551.555,1850104.146,1838952.119,2032835.06,2165088.525,2117395.083,2295966.985,1978640.782,2029332.673,2194783.043,2101438.429,2138018.32,2322148.486,2364049.948,2297886.523,2313431.906,2321754.526,2395917.328,2456460.363,2039451.732,1979321.622,2670929.585,2577044.45,2751038.103,2547109.83,2619036.512,2319540.925,2625408.412,2603320.439,2562950.055,2436530.725,2426293.203,2402279.143,2382690.026,2013519.618,2280970.056,2851993.006,2501371.744,3158690.986,2911979.251,3583964.559,2473240.257,2660903.415,2405926.252,2288580.673,2419868.066,2600343.046
4852,2395318.88,2245081.744,2521463.866,2530656.445,2498391.228,2523901.994,2801256.201,2782527.997,2519415.641,2610886.269,2597772.24,2977661.272,2612636.059,2418780.17,2585789.992,2520736.452,2447121.527,2410707.368,2657860.833,2642712.736,2314775.92,2350280.21,2344996.818,2619273.828,2294661.632,2025994.353,1805742.74,921724.6042,808939.7849,918737.408,1048434.601,1118512.45,1124949.738,1244698.266,1206158.222,1464841.19,1245512.964,1097123.103,1316981.291,1391508.364,1460653.925,1497301.612,1584354.968,1582522.783,1473953.22,1538019.16,1517857.818,1907879.069,1799608.238,1800180.731,1928832.832,2042995.651,2009219.42,1991617.563,2008871.194,2048032.731,2015131.94,2078365.956,1998101.022,2569141.129,2006808.976,1743159.164,2154089.326,2177632.226,2376663.574,2116848.812,2231934.681,2336600.798,2188110.297,2215660.983,2169951.06,2323147.987,2759659.407,2610017.043,2799526.83,3010671.597
4854,687040.7865,671849.2171,718480.33,729988.3049,729310.1736,730191.6685,740669.7668,760498.3893,770668.4336,796427.1311,754861.3334,761571.5678,724019.4076,711710.1319,748723.7063,750783.3544,767587.8817,755141.9031,755943.9429,755779.0831,761080.3947,807525.3831,776044.6673,763143.0951,725532.8458,737695.1558,647052.4269,447264.4952,431882.8369,486161.4912,511877.2886,508656.7288,543600.0496,629506.6459,613437.2748,696715.5452,507506.0498,526793.8199,634499.5184,582798.6499,600756.0259,621861.6186,644282.6799,642190.4808,638033.3785,652682.7875,688987.3371,704255.6035,605563.8105,684091.7198,732955.7092,738904.2962,845344.7239,837693.0797,858515.8818,865944.6562,851075.1163,865399.9131,847644.8684,859088.9011,881604.4917,857367.5706,936923.4084,840773.6452,956980.7165,1007240.912,961116.3744,1043127.65,1054379.822,1074982.118,946791.6905,1038345.729,1004451.136,1100954.311,1123869.176,1216558.27
