DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024
SPNF,97.09640831,93.74389021,98.87828797,99.30641782,101.9739916,98.70779174,100.3893349,102.297811,95.64241449,100.2363174,101.3890352,110.3382992,98.11824959,94.08113341,98.77582609,96.15744305,100.9115008,98.12249901,102.0801653,102.2556191,98.08560658,102.3749172,104.3330565,113.6675674,96.05854687,91.92551855,93.1107008,72.7480134,72.30343761,73.09857161,78.27186589,81.47305321,83.75798649,86.3043869,91.20493169,100.4182661,82.34945754,82.43814862,89.41357833,86.42217595,88.75438303,91.65349892,90.33822129,87.03383378,84.4337105,87.46664173,90.57152362,93.63060254,84.91717943,83.14031747,92.33209494,88.29533944,91.04280713,91.14016065,92.74991882,93.92159168,90.35975792,95.088358,96.27848141,103.5678322,90.80381799,88.63158715,94.98002311,91.27919793,95.08771987,94.57876827,94.27625378,95.08423419,93.42568713,95.54593136,98.09826145,106.0438838,92.89378727,93.20235455
48-49,101.2438494,91.50419324,98.51031596,101.1328787,100.9318918,99.30277499,105.2445127,104.2781496,96.91663781,101.1303417,100.2381865,99.56626756,100.9600668,92.27499869,98.38359494,97.97354706,101.5995946,96.98139304,102.3446333,104.0612217,96.44876333,100.4329609,96.45070439,98.34904952,100.71012,91.53827783,91.9347921,76.31288319,66.82527529,70.65567237,76.77310203,77.15105617,79.20929151,84.85446888,86.13507168,88.3609582,88.81181175,79.68322537,86.90899382,88.38133649,89.45167211,90.9117278,95.66111316,93.86578624,91.55156244,96.06401085,95.29236335,97.1287856,95.33913461,89.97734342,97.95753297,94.78985019,96.13800082,98.59828777,102.3989123,107.5425249,96.14165361,98.76279693,95.77754477,99.28457811,96.64826822,89.63267699,97.11376048,93.63507862,97.00366074,95.69152891,95.02684731,96.35593451,95.56938397,94.2299438,94.20545149,95.17779034,98.85399618,93.08983546
4811,125.4612547,96.05835823,100.6181857,119.0248276,100.6847488,97.2889369,103.8129394,110.2866878,91.98168517,86.81940417,92.35662494,75.6063466,110.9143315,89.53168876,94.62541387,94.24938768,104.8160287,96.80407752,96.11098514,123.1975963,107.8611216,105.0852477,102.1054264,90.97878514,128.1461943,110.9733527,103.3834931,80.0798607,46.07087264,50.58101441,60.83533213,67.06342217,73.01877345,74.72001123,88.1940236,79.69745443,104.053202,73.21382212,57.00741057,78.2637943,75.35838008,69.80424803,88.01448552,90.78523426,81.66017625,78.53875955,83.10179764,79.02327288,119.3020856,92.52515239,75.09744366,78.09015104,81.09546285,87.06649967,89.8190102,95.99150466,75.61540992,81.6941167,81.17520768,89.07073603,100.816843,75.5345806,74.34055012,94.29789215,90.38460883,85.91467219,87.24376114,89.57232951,72.90957365,76.04496142,77.1111744,71.17569925,88.77287118,70.19436941
4812,123.016073,91.57680187,98.04805523,122.1078953,96.08016393,99.6603363,112.5038604,108.2140436,90.06716038,89.64352238,92.84074558,76.24134192,109.1532377,91.05431284,94.20244508,89.0155048,101.4815227,91.24277789,107.3148642,116.7987156,97.67082537,101.3571597,94.96819018,87.94312795,119.3487897,92.68288684,81.99724972,39.13069822,30.45892829,39.32618195,45.356335,48.6318479,53.45444873,55.34591388,67.56481696,75.38352348,78.61068279,54.02888697,56.24763288,65.04995365,66.44012898,61.09595484,78.63429189,80.85445704,69.79132248,70.59913474,76.516947,74.43662156,102.0428776,101.7801019,70.33095807,68.00237005,77.41031803,70.93657709,59.43339317,71.67377139,74.22440739,77.10402423,69.68833073,66.02114349,87.55800793,78.1856712,69.40534379,86.33322462,75.82185776,75.83496064,66.12684958,59.77145712,79.47222996,56.62216774,51.79333941,52.35377402,55.14880045,58.78660723
4821,92.42587196,84.595616,96.75836112,97.80193903,107.2293548,107.9608739,100.5633202,100.6451552,97.8886225,104.349848,107.4212178,102.3598195,88.1274708,88.85014899,104.0332751,98.53839591,109.9818772,107.6711982,107.7559448,110.9033262,102.1050288,104.284058,103.0605558,100.292805,96.95054563,100.2387445,115.8202139,92.35875641,82.46414009,93.95328853,101.1901723,106.725692,97.29918171,100.0370204,95.19291898,93.54961598,94.20364715,85.86015429,107.6206673,99.87258193,107.7979764,101.7862822,104.8176218,101.6643432,96.26443545,98.95741537,104.2615091,100.5774332,102.2223449,99.30528728,110.3124076,107.8084881,105.015015,105.1926203,110.4932415,107.3118719,108.699533,106.7966958,105.4992514,105.7405398,114.1642239,105.7079887,107.066809,107.6150724,111.5775404,107.2943632,101.5758624,104.7633625,103.1690757,111.4390018,103.7081651,105.3837936,108.9909522,109.7483521
4841,95.31446889,91.81289176,99.94365355,97.83979638,100.4292517,98.87900099,100.3114704,103.4409184,100.1932966,106.1273166,104.1494501,101.5584846,105.2603789,100.9168253,104.4399567,104.9492909,105.9375451,99.70712244,105.7978966,102.3400687,98.84468673,106.0012548,101.2817506,100.4770177,98.70844801,94.57383513,101.1703075,86.18903525,79.21495973,86.04443955,90.88706549,90.82593557,91.34294367,98.54875446,97.90101369,100.040229,94.45968024,90.57856321,104.685528,102.3250447,97.65190306,100.843992,99.71891388,98.33525577,97.41247383,102.2584002,99.83198311,102.0803874,89.67553664,92.95578352,107.061153,103.5981818,104.1562876,112.2187434,115.165477,112.5262242,110.1910771,108.1227399,107.7280907,109.7482906,92.51667284,87.83213917,99.40841779,90.91366602,99.9210139,98.61771471,98.70831826,99.1738781,96.79910491,93.43405133,97.48671922,96.53900436,92.73049146,94.94923102
4842,96.1632148,93.25340932,99.4125817,99.52583072,102.1144447,102.376145,104.1165818,103.1691835,95.68753266,102.9138625,99.54444402,101.7227692,106.9099824,101.9369261,107.0678625,105.5140631,106.5816036,99.49268421,106.6640058,106.9219974,100.1607375,106.832106,101.470126,105.9945918,104.1445717,99.05571509,99.97547132,83.73143914,80.63993601,82.3685427,89.99815259,87.61927146,94.09593829,100.3977778,96.67630728,98.91120233,93.75726251,89.42535217,103.810687,99.92796075,97.51110623,101.8603636,99.68368087,98.54017906,100.1639901,103.4099784,91.53149534,94.80825107,91.40239195,90.76620505,105.9596231,104.0475532,107.6936298,108.0925437,112.1381183,108.9000693,106.8650999,110.3662693,111.9979204,114.5455889,102.5024132,98.56421814,112.5568768,106.4835742,115.563946,113.2672535,104.7878456,115.5089321,122.2002723,115.7463293,113.5725756,118.7560399,109.1506677,117.9802851
4851,97.39975932,94.52307147,99.7083864,98.9163637,102.699875,100.3569602,99.67204158,103.9562324,102.1467099,105.9513754,100.4019351,94.26728954,102.5358931,98.85671668,106.0651485,100.2220268,106.9682035,100.6834637,100.8337777,105.1198373,101.9198264,107.3421302,102.7238374,96.03497103,92.37512755,91.07934747,83.56969868,56.04524396,59.33537098,65.31326605,71.33685025,67.87001787,72.06019642,80.36985828,73.86389459,74.84418804,66.46781464,62.91257867,70.3606692,65.34517752,72.18877323,73.64713849,75.30338702,72.76173874,73.29360804,75.84240547,74.55311973,74.48717413,57.32575509,58.96032225,64.91047791,60.24254036,67.64467446,63.02834585,65.35844071,70.604131,64.03925212,68.57808818,68.45820973,66.86586269,66.39355242,63.81381631,69.20972469,67.925676,68.93546264,67.91238392,68.319328,69.07173941,69.87728502,69.97318311,70.03685019,70.88690683,69.06457109,69.57323885
4852,95.11780733,83.9450786,101.7055586,97.17094263,96.49679598,96.80393163,119.5979418,106.9028993,90.78098997,93.89808589,95.93495805,121.6450102,96.7793369,82.46063156,93.30046367,102.7879162,97.36890438,98.44787141,114.0335766,105.9368772,89.68285328,92.65137575,92.5697053,114.6861107,92.1555744,79.2785186,69.50415667,35.63020238,37.14484364,41.96211617,46.86356833,50.56463321,52.59510127,53.53670908,53.82904724,66.2562336,50.1659436,45.42133228,55.59346593,59.23569206,63.25586619,60.98378864,68.26065683,63.30243225,57.92977237,65.46699436,66.9411117,80.50290973,66.41361792,63.04468541,82.18875236,86.90035005,87.30101194,80.6676221,87.05266343,89.73129204,75.07346214,84.48027412,80.2025,110.79757,79.87876671,71.15603007,83.29543764,86.11562083,77.69474691,75.06335792,86.69122198,84.35221239,79.50261087,82.84064428,82.43059275,97.94772726,100.6158881,90.17742897
4854,97.31219615,94.63789714,99.20447802,99.70457867,102.7450567,99.25767948,99.04171886,102.6792038,101.1840799,105.0060973,100.7477464,98.47926751,101.2860172,96.92440124,104.0098359,99.37273011,104.7209907,98.4578531,98.44438811,102.9767303,101.1306631,107.2487058,103.4773604,95.31835471,92.78119641,91.1688275,80.70030065,55.1861256,54.97301072,61.39005666,70.43524344,66.09863874,67.97655856,76.65220244,72.56562586,74.62013682,65.61923857,64.81623846,72.54187965,69.92038205,72.93900136,73.66690032,76.1163059,73.90467387,75.2679419,75.16437684,77.33519976,79.2994468,79.89307853,74.83487215,94.79760388,76.00621983,97.86159277,91.63409967,96.55645027,98.48090836,95.18614898,93.1510607,92.38581739,82.91753903,105.4067356,100.0151491,111.550141,95.77026724,102.036872,104.5186454,104.020141,104.5275406,104.0118383,104.5758941,97.82925177,112.6256584,100.7012975,109.7740576
