DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024
SPNF,436185509.15510,423874688.93460,449965004.08540,447463090.80060,467212709.82630,457349910.68180,463652060.47910,471152366.97520,442434233.81090,466998902.97000,474597814.52120,520994174.14530,458673153.92580,441364291.25730,461090300.35160,455567539.55990,476418657.02600,469527829.82830,487850724.47590,483053323.13210,466048202.40300,485238477.15330,493987973.42020,545827168.83910,459629692.99760,440677133.15980,445006204.04810,354141096.02120,348772393.59030,352800990.49230,374745044.80650,391206247.22620,400639112.96970,414020129.95690,431301294.19170,474144898.54180,394707028.97230,395699723.61280,435794547.60020,419714590.19060,432036870.68850,449637800.63630,443645494.86530,421767032.16190,404670882.90290,419745093.44290,434246006.88780,460717533.38600,394882484.50960,387276686.18250,439902691.99890,422295502.90270,439631073.62630,445707035.37870,455652288.89180,459003214.32760,439987490.56360,459975468.28340,469820041.32720,508622951.94960,442240381.75380,434379195.39520,472514355.44480,450580706.15080,471667599.50290,473608074.25170,470982163.32560,475350644.87380,467895676.01660,481656713.53260,495185670.44090,541095488.50190,469936207.88340,475980174.18100,507964920.15460,511993566.37670
48-49,88545484.03950,82559222.29480,90992352.16590,89351712.47060,94673882.31130,94547757.61160,100663815.00960,97541847.46820,90836220.58920,97344884.86100,97848652.00230,101808598.22680,96792058.54310,88538193.09450,95260863.53530,97239368.67820,98742049.87300,97326212.55940,104718535.87000,101880531.40620,94248987.60770,98361156.27330,96923393.25210,103751062.26540,99276568.39730,89730951.79610,91832801.53860,77905732.48770,70452813.81790,73518612.34010,79304250.81740,79239424.04100,81094258.86320,88680696.88380,88252445.60680,91303731.64060,88568715.69360,81874689.95530,93575647.25480,94527102.69450,97947087.64780,102871187.55100,108349393.20640,102228970.07750,99138056.51190,106203587.62540,107296860.03920,114165413.21730,100984134.28060,97568039.82290,113383998.14670,110817267.34800,111977124.83470,117292261.76730,123401362.39580,125476131.12700,113685523.15350,116491563.23860,115302356.09750,120307942.70850,112137098.25110,105497148.31740,118555528.46150,110120935.70270,115730599.62350,116418801.22960,117938832.14200,118224413.46630,118223338.43010,118554772.71930,118999765.09760,123764464.06560,122560928.57090,117620840.17280,128592640.99720,134143119.18430
4811,12436257.00000,10233489.00000,12818511.00000,11434462.00000,12948818.00000,13117323.00000,14920003.00000,13901177.00000,11127262.00000,12147033.00000,13753546.00000,15846892.00000,14534473.00000,11157501.00000,12569121.00000,14836309.00000,14042402.00000,15516782.00000,16394348.00000,16532381.00000,13672873.00000,13147357.00000,15217956.00000,18020316.00000,16166081.00000,13323824.00000,12264596.00000,8650448.00000,5405587.00000,6015520.00000,7223480.00000,8064182.00000,8616074.00000,9946874.00000,10661766.00000,10245212.00000,10149291.00000,7566347.00000,7931667.00000,11047524.00000,12597924.00000,14152295.00000,17464713.00000,14155410.00000,11824508.00000,12892400.00000,14790529.00000,18219186.00000,14562628.00000,11404520.00000,14356476.00000,15645175.96050,15213277.92480,17420282.04000,19199478.30560,16787930.12240,13678505.32550,15059804.57890,16962793.89360,20557245.01860,16287033.32430,12174223.04000,15308278.75240,15505693.23750,15183410.02500,16355851.00000,19762751.00000,18219205.00000,14891401.00000,17484843.00000,18040193.00000,20265520.00000,18494563.00000,15327580.00000,18395520.00000,17309727.00000
4812,1249780.00000,999921.00000,1280241.00000,1202302.00000,1266461.00000,1377196.00000,1657206.00000,1397989.00000,1116722.00000,1285476.00000,1417023.00000,1637827.00000,1466020.00000,1163007.00000,1282481.00000,1436166.00000,1393453.00000,1498988.00000,1876172.00000,1606434.00000,1268970.00000,1299699.00000,1450699.00000,1785319.00000,1543152.00000,1140516.00000,996995.00000,433236.00000,366288.00000,479357.00000,551976.00000,599359.00000,646473.00000,755139.00000,837148.00000,993218.00000,785875.00000,572283.00000,802101.00000,941115.00000,1138386.00000,1269548.00000,1599230.00000,1292120.00000,1035776.00000,1187793.00000,1395798.00000,1758945.00000,1276633.00000,1285795.00000,1378037.00000,1396368.00000,1488390.00000,1454675.00000,1302097.00000,1284743.00000,1376153.00000,1456791.00000,1492539.00000,1561725.00000,1449761.00000,1291559.00000,1464823.00000,1454986.00000,1305452.00000,1479677.00000,1535262.00000,1246066.00000,1663635.00000,1334349.00000,1241908.00000,1527797.00000,1177583.00000,1315653.00000,1325050.00000,1444984.00000
4821,4707936.00000,4427421.00000,5063974.00000,5118591.00000,5611987.00000,5650272.00000,5429078.00000,5433496.00000,5284680.00000,5633500.00000,5799313.00000,5526065.00000,4757708.00000,4802001.00000,5643206.00000,5355715.00000,5977686.00000,5852097.00000,6019770.00000,6195598.00000,5703935.00000,5825663.00000,5757314.00000,5602698.00000,5415988.00000,5599678.00000,6470112.00000,5159475.00000,4606728.00000,5248551.00000,5652828.00000,5962061.00000,5435464.00000,5588409.00000,5363129.00000,5270546.00000,5585517.00000,5090815.00000,6381038.00000,5921639.00000,6391551.00000,6035106.00000,6214840.00000,6027876.00000,5707705.00000,5867377.00000,6181867.00000,5963431.00000,6060961.00000,5888003.00000,6558116.00000,6409257.00000,6479956.00000,6563409.00000,6894137.00000,6695638.00000,6782220.00000,6663494.00000,6582541.00000,6597596.00000,7123185.00000,6595565.00000,6845468.00000,6880522.00000,7133868.00000,6860017.00000,6758977.00000,6971077.00000,6890895.00000,7443262.00000,6926902.00000,7038821.00000,7295948.00000,7346649.00000,7763417.00000,7604624.00000
4841,13753714.20400,13247379.89990,14425460.35620,14289585.39900,14879927.35560,14810551.07110,14906533.12510,15416696.81600,14969783.30670,15880264.57600,15731415.62690,15341090.37230,15888274.32030,15216583.62710,15766202.89370,15822321.92560,16114697.96660,15335230.81920,16247772.02240,15755008.46680,15261777.35950,16373579.54940,15647656.82990,15538606.78560,15544894.14090,14997864.69710,16196594.13700,13843777.31740,12734703.42570,13765804.34690,14552461.39950,14558174.61320,14644084.04600,15817479.77080,15705644.13560,16035050.82490,15273390.31610,14683544.53160,17004341.21660,16642248.99770,15955300.20270,16482226.76000,16401864.88580,16210354.28520,16127408.91820,16997684.39690,16681103.49320,17135622.02780,15174867.97600,15905392.94130,18469226.53870,18039406.71460,18256835.49080,19767459.82520,20376763.91650,20013168.53690,19755231.32750,19363220.60780,19332773.19760,19750255.82400,16859118.63270,16123274.58320,18349978.44400,16850028.37350,18617132.78740,18438815.05440,18455732.64660,18656695.21390,18261831.67270,17708972.80400,18490606.62930,18305594.71400,17670805.07960,18384646.09160,20018271.73470,21510921.63140
4842,11102526.28900,10765710.97500,11480676.65600,11630317.54100,12105408.15700,12269238.06600,12379343.90200,12302705.55900,11438889.82000,12321287.80100,12030384.90400,12294471.48700,12911649.60700,12298064.99100,12932164.89200,12727782.00800,12971977.54700,12243538.61900,13106488.36400,13170178.84900,12373739.56800,13203409.42000,12543189.58500,13115375.23300,13122656.37500,12568679.18800,12806066.80600,10760756.75200,10372500.80300,10543670.80500,11529743.41100,11236947.57900,12070069.19400,12893235.68000,12409100.18100,12685068.52600,12129574.62900,11598926.84800,13491707.02100,13003754.75900,12747646.89300,13320568.20800,13118718.99800,12997154.31000,13268239.88800,13753235.74900,12237066.18980,12733722.24990,12375426.38870,12426357.32810,14625437.62870,14496182.95990,15103642.52900,15234663.76180,15875150.10110,15496796.69480,15329333.06210,15814249.51440,16081509.99960,16493202.96820,14945161.88930,14476738.98920,16624021.95900,15790859.12320,17227807.08360,16944709.07160,15676175.68640,17386199.63830,18445772.19490,17552827.72840,17235776.43320,18017245.96870,16642242.44990,18277842.74620,19551303.94820,20063950.92730
4851,5963013.21200,5799291.08510,6120417.26590,6100755.95810,6343716.59700,6199234.98320,6157455.43670,6441239.08690,6336066.78050,6575094.05320,6234193.74440,5866323.80750,6432875.63020,6208459.94990,6668312.75660,6320840.58570,6756799.22730,6368266.22520,6407355.06080,6718103.10420,6516068.56530,6928215.68160,6677056.94580,6247620.54960,6070245.28020,5991688.32940,5519371.26120,3707886.63760,3952864.69780,4352307.40240,4757816.85850,4534504.77620,4831612.00540,5391893.27850,4955960.75650,5021734.37840,4463036.26080,4227461.10360,4727941.51120,4400004.87910,4863273.36960,4964444.65080,5082109.52150,4913900.11600,4968628.01710,5139414.09020,5056980.80310,5073174.44050,3922145.06240,4049879.48660,4460226.20740,4139475.87460,4647528.48500,4384197.75620,4603308.60400,4987113.87820,4531894.54880,4859152.28370,4855375.19430,4747997.07550,4737637.43030,4577377.96340,5000441.50980,4931311.36180,5015918.24580,4942251.97500,4978143.13420,5034415.51160,5099316.95920,5110655.85430,5116053.26460,5178649.68290,5048978.28100,5089669.15490,5889191.89170,6241718.11090
4852,3637717.36020,3202769.55940,3905390.30120,3731059.32080,3708635.49120,3714775.67100,4596567.54660,4110593.94040,3514519.21180,3677218.65880,3764795.57600,4870937.99280,3941811.79360,3350952.06260,3797902.21120,4215078.02920,3998648.59220,4045019.24980,4716065.08380,4390902.95640,3703915.99800,3802632.18460,3817781.51960,4791238.02220,3870770.13480,3330488.53880,2919538.26700,1487266.22380,1555399.64620,1752489.92540,1957578.30060,2100822.21380,2183505.89580,2226061.68060,2229999.21660,2771135.26360,2109931.76240,1902121.02020,2340353.22260,2498960.46060,2665318.51360,2581157.26740,2898231.86400,2699182.29880,2447808.70980,2773163.75680,2860634.76100,3497298.28780,2905150.95800,2767856.89740,3605951.27040,3880012.21080,3932279.66820,3649316.58720,3956577.63840,4110933.40100,3441072.83280,3878073.54360,3680001.02340,5209199.16180,3789455.34820,3385729.96940,3976330.02680,4152510.26880,3744531.70100,3606640.69400,4189856.63880,4108465.52230,3853637.10160,4006332.06640,4022308.05480,4909405.26420,5086374.31460,4582104.05750,5301935.78750,4944181.80250
4854,1498716.85980,1460651.45420,1531881.07570,1546945.60790,1596537.87250,1542407.57570,1539183.94070,1600463.63930,1578890.38850,1639284.45080,1573685.64560,1541680.04870,1598538.72550,1531282.28970,1644985.59420,1576606.48600,1664042.77500,1566599.03970,1573650.00590,1655562.24530,1626500.70540,1741356.45740,1692012.69970,1559933.92660,1533753.57650,1508759.80210,1340788.74450,918463.74980,921281.26820,1029107.22110,1181757.15920,1110935.50490,1146569.05170,1293651.07620,1224816.51170,1259494.07320,1108395.19160,1095646.33090,1226239.69190,1184371.20410,1236127.49060,1249198.98680,1292265.18310,1255566.13050,1283585.65460,1281321.17780,1319614.64380,1358666.55860,1375078.38580,1293095.80760,1638641.19920,1313819.31730,1691395.45910,1603451.30080,1710779.86720,1749909.74650,1694539.63810,1660379.53510,1648340.74650,1481142.43810,1892120.14490,1804730.15350,2027476.29310,1749055.48140,1867709.47620,1913436.75230,1906714.47210,1916566.21080,1909427.56420,1921414.32410,1797718.19670,2069818.58120,1851943.27780,2020186.56990,2219812.19350,2275893.88550
