DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024
SPNF,12343235.66800,12338671.62920,12341177.51030,12428026.12460,12372026.26170,12405631.68840,12381907.57190,12477330.86450,12397655.85200,12430044.55290,12479178.85390,12452115.59740,12568462.30960,12466457.41220,12424143.76950,12532430.36660,12558943.83580,12492788.52360,12457818.12460,12453515.15060,12581286.91000,12927764.27900,13003668.57880,12977498.74940,12732517.90100,12691832.70760,12593842.07920,12300363.18190,12145140.85440,11996999.08940,11879541.56520,11670332.27540,11960251.92870,12069040.86400,11992570.73840,11957128.51090,11898941.78080,11885612.62430,11902306.41090,11820189.53630,11713848.95210,11699264.12510,10324465.54110,9583018.81180,9206976.94400,9002511.79580,8904880.13190,8827049.13410,8471594.09160,8554895.83960,8597014.68600,8486085.13710,8455056.31570,8451947.46790,8432984.57570,8392571.86670,8431228.64290,8520652.86310,8436916.98360,8470536.63540,8250607.10790,8313523.47600,8324208.93120,8300772.50600,8368087.62600,8337627.47820,8373447.93700,8411871.91360,8488620.72890,8528311.22730,8454587.32990,8488918.37140,8344603.20570,8465843.13950,8465183.48780,8437861.81080
48-49,784711.02060,791093.76450,791795.71420,791178.04830,795212.45680,793979.14160,801043.96750,796902.19460,801203.13600,798186.64790,801449.57290,803075.14600,797025.37610,799284.05790,799303.38460,797115.86910,800500.93150,803445.57610,810080.57840,804897.57120,810149.12840,810288.12280,809876.19400,811116.85630,807266.54440,806397.48480,799862.97840,774243.16600,753941.08630,753221.79970,752310.81020,756175.78020,756539.17040,759775.59750,760230.91050,759373.06960,766709.79400,767053.58260,765594.13480,757880.90980,757038.33920,760897.19550,777682.80820,784187.45540,788018.18600,798623.64650,776499.16460,764720.30680,781534.26600,798914.10470,794875.76320,806739.80460,798328.12380,838021.40780,826158.18030,817213.67010,818629.68900,818518.93930,815394.42330,816278.46280,786109.37120,795036.12450,797849.45290,806438.20290,818424.14680,809157.38870,799361.90500,804491.10220,805568.08450,802327.00830,807692.07570,819928.65360,849691.09310,856278.23230,848634.46750,844776.23210
4811,26697.00000,26759.00000,26846.00000,26885.00000,28322.00000,27622.00000,27337.00000,27323.00000,27100.00000,26349.00000,25962.00000,26032.00000,25856.00000,26103.00000,25956.00000,26234.00000,26275.00000,25978.00000,26667.00000,26299.00000,26597.00000,27041.00000,26878.00000,27124.00000,26909.00000,27416.00000,26910.00000,25849.00000,25588.00000,23236.00000,23529.00000,25630.00000,25541.00000,25985.00000,25406.00000,25658.00000,25416.00000,25311.00000,25287.00000,25112.00000,25523.00000,25551.00000,28001.00000,28863.00000,29255.00000,28048.00000,28954.00000,28790.00000,28284.00000,28718.00000,28963.00000,28481.03900,28718.03360,29096.02400,29514.98720,29819.97160,30097.02300,30505.97850,30728.98440,30859.97940,30857.01800,31010.99000,31341.96100,31753.04000,32105.04000,32244.97240,32505.97920,32465.01200,32479.99920,32849.01960,32886.95800,33543.00000,33723.00000,33361.00000,33202.00000,33406.00000
4812,2501.00000,2502.00000,2486.00000,2599.00000,2650.00000,2592.00000,2644.00000,2590.00000,2579.00000,2559.00000,2547.00000,2552.00000,2568.00000,2621.00000,2606.00000,2577.00000,2579.00000,2615.00000,2586.00000,2571.00000,2582.00000,2622.00000,2636.00000,2608.00000,2659.00000,2682.00000,2663.00000,2566.00000,2539.00000,2399.00000,2588.00000,2645.00000,2652.00000,2579.00000,2534.00000,2489.00000,2575.00000,2575.00000,2599.00000,2623.00000,2605.00000,2579.00000,2658.00000,2698.00000,2718.00000,2713.00000,2762.00000,2791.00000,2899.00000,2804.00000,2825.00000,2826.00000,2851.00000,2698.00000,2802.00000,2780.00000,2799.00000,2812.00000,2806.00000,2989.00000,3120.00000,3090.00000,3143.00000,3102.00000,3096.00000,3074.00000,3072.00000,2808.00000,2792.00000,2741.00000,2701.00000,2692.00000,3187.00000,3159.00000,3235.00000,3201.00000
4821,14532.00000,14521.00000,14485.00000,14405.00000,14504.00000,14464.00000,14478.00000,14515.00000,14494.00000,14522.00000,14477.00000,14590.00000,14500.00000,14469.00000,14352.00000,14415.00000,14493.00000,14473.00000,14458.00000,14468.00000,14438.00000,14429.00000,14326.00000,14343.00000,14279.00000,14126.00000,14103.00000,13992.00000,13983.00000,13986.00000,13934.00000,13927.00000,13871.00000,13794.00000,13759.00000,13784.00000,13570.00000,13514.00000,13688.00000,13681.00000,13602.00000,13665.00000,13654.00000,13692.00000,13882.00000,13847.00000,13907.00000,13929.00000,13992.00000,14048.00000,14046.00000,14054.00000,14107.00000,14057.00000,14049.00000,14050.00000,14014.00000,14034.00000,14051.00000,14091.00000,14069.00000,14102.00000,14168.00000,14295.00000,14330.00000,14415.00000,14470.00000,14483.00000,14385.00000,14377.00000,14447.00000,14698.00000,15720.00000,15798.00000,16089.00000,16190.00000
4841,156949.00000,158222.00000,158460.00000,159727.00000,159393.00000,160394.00000,159452.00000,159795.00000,160076.00000,160809.00000,161231.00000,161275.00000,161612.00000,161671.00000,162621.00000,162860.00000,162918.00000,163522.00000,164242.00000,164658.00000,164017.00000,164000.00000,163316.00000,163371.00000,162895.00000,163441.00000,163095.00000,161240.00000,155688.00000,156477.00000,156176.00000,158419.00000,159541.00000,160013.00000,160545.00000,160272.00000,159414.00000,160521.00000,160349.00000,159931.00000,159470.00000,160623.00000,160668.00000,161069.00000,161842.00000,165130.00000,152066.00000,150180.00000,143917.00000,149463.00000,149826.00000,169291.00000,155811.00000,180889.00000,176648.00000,174560.00000,176765.00000,173442.00000,173201.00000,170281.00000,146970.00000,148900.00000,149524.00000,152979.00000,156337.00000,150699.00000,151680.00000,151247.00000,149427.00000,152759.00000,153961.00000,151719.00000,156677.00000,156630.00000,153614.00000,154825.00000
4842,112594.00000,114814.00000,114344.00000,115273.00000,114712.00000,115057.00000,115011.00000,114665.00000,114755.00000,114939.00000,114378.00000,115771.00000,115968.00000,116777.00000,116207.00000,116667.00000,116510.00000,117084.00000,117993.00000,118388.00000,118106.00000,118741.00000,117581.00000,117503.00000,117667.00000,118004.00000,116310.00000,115349.00000,112178.00000,113642.00000,113785.00000,115469.00000,115131.00000,114884.00000,115752.00000,115221.00000,114929.00000,115648.00000,115362.00000,113771.00000,112975.00000,113941.00000,113011.00000,112570.00000,114645.00000,114915.00000,107906.00000,107317.00000,114868.00000,123920.00000,124981.00000,117543.00000,119589.00000,120163.00000,121084.00000,117928.00000,117087.00000,120936.00000,111435.00000,115889.00000,119383.00000,120321.00000,122067.00000,121338.00000,124753.00000,126510.00000,115158.00000,117654.00000,117486.00000,118823.00000,116780.00000,122449.00000,127485.00000,133873.00000,135599.00000,134091.00000
4851,127636.00000,128383.00000,128452.00000,128006.00000,128466.00000,128507.00000,127690.00000,126964.00000,125928.00000,126468.00000,126711.00000,126726.00000,124900.00000,124999.00000,124772.00000,123400.00000,123532.00000,123217.00000,122604.00000,121647.00000,121360.00000,120099.00000,119685.00000,118046.00000,117388.00000,116887.00000,111991.00000,103002.00000,102122.00000,102056.00000,99090.00000,97732.00000,96624.00000,96190.00000,95146.00000,93260.00000,93361.00000,92834.00000,92147.00000,91152.00000,89722.00000,89832.00000,89130.00000,90241.00000,90685.00000,90341.00000,85224.00000,88199.00000,98049.00000,92361.00000,104986.00000,101740.00000,101342.00000,101733.00000,102804.00000,102683.00000,103306.00000,108419.00000,109642.00000,109661.00000,109839.00000,111007.00000,112400.00000,113186.00000,111157.00000,112317.00000,110929.00000,109868.00000,109020.00000,108285.00000,111453.00000,109290.00000,115262.00000,114575.00000,109135.00000,111537.00000
4852,45371.02250,45239.76640,45658.71390,45371.04330,45387.44350,45004.12880,45244.95470,45186.20200,45753.13370,45601.64880,45797.56580,45942.14080,45738.35970,45811.06010,45561.37700,45633.86480,45903.93070,47190.57900,47248.56670,47114.56280,47031.12240,47219.11240,47213.19890,47247.85150,47061.55550,46784.48820,46328.96680,44680.17380,43226.08590,42570.80130,42015.81600,41407.77920,40041.16920,39791.60060,39576.91270,39414.06890,40960.79940,40068.58380,39329.13080,39254.90390,39685.34190,39749.19720,40612.81180,40487.46010,40306.19520,40236.65110,40567.16940,41480.30670,41247.26470,40825.10490,41142.76720,41507.76630,41518.08450,41327.37850,42122.18430,42162.70770,42167.67440,42283.95070,42616.42570,42734.45500,42568.35230,42910.14970,42583.51610,42652.16930,43082.12720,43136.41670,43367.93280,43434.10150,43794.09650,43833.98750,43540.11760,43713.65720,61011.08870,60068.24200,59979.47500,60135.23330
4854,24874.00000,25132.00000,25056.00000,24877.00000,25021.00000,25048.00000,24817.00000,24686.00000,24541.00000,24735.00000,24511.00000,24564.00000,24319.00000,24409.00000,24398.00000,24211.00000,24164.00000,24023.00000,23977.00000,24033.00000,24007.00000,23909.00000,23852.00000,23732.00000,23705.00000,23596.00000,23317.00000,21727.00000,21474.00000,21504.00000,21031.00000,20775.00000,20358.00000,20263.00000,20148.00000,19476.00000,19562.00000,19542.00000,19442.00000,19173.00000,18960.00000,18842.00000,18863.00000,18914.00000,18936.00000,18803.00000,19426.00000,19431.00000,21522.00000,22114.00000,21955.00000,22087.00000,24067.00000,23108.00000,23514.00000,23193.00000,25029.00000,24752.00000,24761.00000,23593.00000,24769.00000,25413.00000,24990.00000,24578.00000,24342.00000,25647.00000,24348.00000,25927.00000,26589.00000,27360.00000,26967.00000,26769.00000,27438.00000,28710.00000,29995.00000,29816.00000
