DOMINIO,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024
SPNF,110860099.5,112238849.6,118988477.8,116625833.5,124374074.8,117263854.9,115907070.7,118639760.9,116282409.4,119311553.8,120687616.6,142361092,117526721.6,119661971.4,127074852.8,122329980.6,133801821.4,124993339.3,125360677.9,126282944.9,126032066.2,133690083.6,134083384.6,159876271.2,127947938.7,125803668.8,131064778.5,119131009.1,121785264.5,116597535.3,120208862.7,117744923.4,119894476.8,126321252.5,126498384.7,151207860.9,119302912.7,118695321.6,132901379.2,123769969,129174308.5,125406824.6,108848291.9,94735065.14,91319695.82,90690182,87104071.63,105675178.2,85172795.61,89423086.13,96426517.16,94057637.15,103182010.4,95686976.95,95856440.59,97684585.27,97018219.14,97896082.29,98544071.74,122552175.5,97743105.51,99727322.44,104829872,101334795.3,110352392.4,104312968.4,101814562,105570747.5,104310415.2,107147498.4,108762611.3,136381962.6,108543063.8,115035322.3,119368265.8,117647381.1
48-49,13132040.21,13177476.49,13790068.29,14100439.46,16756514.05,14154267.64,14240969.94,14560302.3,14440032.23,14519243.8,14668321.96,16523922.42,14315867.52,14653777.93,15112396.09,14681616.86,17589628.94,15234723.01,15247020.88,15364433.86,15055192.82,15715011.37,15321105.43,17808259.09,15404203.82,15120518.72,14778420.71,13987564.32,14282591.98,13277669.22,13881469.86,13719097.03,13648846.57,14334022.23,14267197.47,16696701.54,13808904.47,13966850.17,14273500.44,14613160.42,15818500.81,14946766.5,15132000.57,14311561.6,14297662.59,14941746.95,14749463.15,17313461.59,14638990.49,15069126.2,16457931.19,17170083.04,19509616.7,17346163.25,17761828.77,17783102.57,17854223.02,17650451.74,18397195.42,21961760.66,18107852.33,18091373.15,19555790.53,19741337.93,21927615.71,19939473.28,19481460.13,19893316.76,19880692.69,20102961.2,20023249.65,24936006.17,20323126.04,21829586.49,23017524.37,22634448.83
4811,1129762,1138248,1185125,1209106,1360202,1173297,1208542,1278745,1260420,1237287,1187498,1244505,1226655,1426063,1300976,1336392,1332171,1316950,1309388,1224320,1332519,1383262,1254350,1540339,1433635,1418874,1181697,861693,792715,818722,896627,928382,1011886,1028929,1066755,1048325,1015497,967893,876336,976775,1047835,1131011,1055822,1046061,1005555,951895,1280451,1187414,1229164,1169375,1345065,1164895.588,1191783.27,1117422.344,1286568.22,1372056.924,1231564.185,1319046.818,1351832.676,1425117.196,1477273.302,1362087.412,1481482.069,1418922.675,1467110.428,1502598.818,1578399.953,1576210.918,1443131.742,1704919.428,1663149.957,1692266,1675233,1637965,1741610,1725130
4812,138335,133767,138169,139574,147471,141053,146100,148023,144746,146460,144740,155942,143531,151077,148395,150742,150738,150220,152141,146952,148718,153714,145933,165482,154855,152936,135263,105110,103680,109636,112139,113401,125246,122641,125760,132079,124158,116483,117216,121863,126952,134324,128869,122549,121924,127337,145047,133259,140449,138257,137775,139434,163988,150916,143978,152128,140450,149952,143415,145513,140711,132488,133034,147115,152211,154058,151643,172868,121938,143336,131462,191790,143024,148813,144116,163638
4821,690790,738182,681320,806171,1729227,948476,858964,934892,828144,995942,898073,1002156,850535,946476,903735,1021655,1747225,1006970,1030357,1013017,956482,1012767,932212,1044829,849308,951694,912471,996638,1002818,937971,975403,933415,931681,1118773,902866,1088480,828941,977231,896374,1050429,1008843,836876,857343,539052,553341,620949,543930,562504,623379,542185,701972,731726,1481269,763337,724226,789008,749196,752315,783768,894839,778956,897136,978222,1286695,1642665,915511,725766,820732,733025,891245,897685,1193477,789736,963376,1028631,897063
4841,2024829.42,2005868.31,2175324.699,2078399.189,2419273.775,2170911.133,2177861.664,2221397.782,2184548.017,2241357.909,2333386.611,2469685.47,2260376.803,2200355.565,2295389.505,2244555.018,2556858.775,2283280.935,2357716.877,2481128.918,2347167.44,2445989.374,2491734.098,2731347.379,2433832.546,2316405.352,2375460.539,2253156.359,2366724.24,2214874.017,2391972.762,2341014.707,2359933.56,2444933.323,2455769.243,2897670.609,2374048.667,2373005.17,2618290.36,2514722.422,2711496.182,2588961.694,2736991.002,2548167.687,2681495.34,2758213.802,2587552.355,3117503.491,2619691.933,2763648.571,2861976.852,3166485.678,3536246.21,3288661.871,3409161.951,3167394.091,3496650.047,3264707.27,3319984.275,3772532.231,3042053.457,3105679.261,3466431.006,3404682.583,3911062.857,3490828.501,3387144.217,3509888.372,3510572.867,3410864.134,3592997.045,4284051.348,3646667.23,4102322.011,4178471.557,4026891.89
4842,1682224.424,1678867.859,1792120.674,1776547.626,1942256.712,1760203.048,1812584.822,1834941.837,1799603.725,1848028.478,1872011.107,2186596.495,1869975.226,1876890.885,1956567.859,1929807.029,2154682.589,1947014.691,2024199.789,2040956.481,1987297.491,2029373.452,2071823.74,2360377.138,2038907.417,1969810.845,1957835.833,1913676.359,1937205.094,1911392.013,1960379.757,1867019.555,1900920.633,1949181.985,1938227.294,2255450.558,1869486.403,1861405.919,2074467.253,1954889.702,2054552.475,2051741.204,2153427.811,2072682.288,2160008.976,2199564.194,1902026.996,2294149.869,2186980.361,2181507.585,2364981.216,2349332.978,2640472.926,2370961.306,2469854.388,2746382.454,2472306.995,2540700.846,2575346.358,3055474.28,2557231.306,2516290.611,2672716.835,2468255.345,2994975.047,2846918.418,2735428.496,2721818.775,2824020.627,2762607.003,2758447.107,3377111.931,2863912.061,3285401.093,3350893.835,3398135.14
4851,1127423.999,1144118.131,1174764.13,1190550.87,1225295.308,1192717.958,1175468.069,1209150.824,1136459.775,1206337.885,1325179.733,1429389.471,1170204.653,1152452.279,1168071.273,1159476.099,1233990.089,1180550.789,1173982.4,1212858.394,1131543.955,1197289.346,1177089.24,1318439.592,1176651.264,1151434.334,1099394.76,1012559.666,953353.2708,979793.3264,986280.3129,978192.7965,939936.4972,985742.8345,960544.5161,1262708.015,998424.2639,945142.6684,972139.9008,958402.3782,926783.524,953105.6512,953494.7759,968705.8544,942027.3494,978813.0015,857078.8098,1151241.82,1063679.717,1029066.348,1390585.2,1373509.57,1412410.261,1525543.252,1490604.93,1429659.463,1400849.294,1348994.167,1710215.991,2069104.223,1562254.566,1546014.505,1765932.752,1625017.76,1539410.16,1567322.007,1683317.056,1635956.8,1817688.805,1760340.218,1609622.957,2320760.487,1634277.443,1635401.079,1640176.887,1656530.384
4852,792985.1369,751437.448,858870.5531,870814.8372,889065.8173,823692.0904,875942.2962,853342.0414,795188.0844,811328.288,819238.4699,964070.2376,868188.3995,789466.9629,842064.4523,848806.021,874085.4735,843726.7651,941166.7014,893858.0457,884423.2315,869858.3499,866360.2042,1040328.754,885126.8361,836801.2424,832861.2465,604683.6481,586807.7467,579352.3352,638932.3286,645415.5419,634310.1159,646098.978,677809.0158,795245.432,600958.2091,583734.8215,633812.6664,647082.2416,677079.4641,678116.394,737550.3985,691252.6283,661366.3602,710096.8875,694733.5991,860917.3666,764917.6016,865091.7414,893223.7334,933632.2794,1006083.578,823142.1593,792178.7939,873143.6657,863092.0698,868431.9222,869152.7635,1047211.577,984603.6731,840052.543,909308.8077,910974.9079,1030699.822,905638.4087,922542.2118,954502.6368,916015.4714,922591.267,994215.8318,1054813.84,1173370.687,1111341.696,1196484.974,1155204.413
4854,282160.3408,284987.7156,285784.2754,288034.097,298927.2053,284939.7448,282674.5402,289650.0563,275763.7359,287804.7612,309997.2702,336637.2078,279633.3328,277202.3075,282292.9919,281032.9355,301336.3662,283843.4563,279473.5934,293231.2465,277116.9699,291539.5687,285741.4739,313078.6055,289806.9185,286487.7686,269555.0501,247178.2446,239318.9712,245598.6787,243215.1925,242295.7985,236092.4116,244911.8453,234014.1003,299089.6233,248058.2689,232339.6363,244071.245,238746.4569,229934.6126,235697.1092,235226.557,237282.0078,235332.9173,239439.0891,233863.7717,301994.3722,275149.5403,312090.5985,339901.1439,335282.9573,343085.9289,356454.5649,317836.2734,344731.7577,320219.9031,362751.3956,316510.3159,423718.488,363301.5466,399842.4795,416358.916,396771.2824,433807.3313,436854.1649,447005.5735,433312.9888,455709.175,440301.0483,418428.5222,511460.8503,426362.3039,466253.325,509390.4528,512761.6745
